excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
25,277,-0.5323636970621987,0.0664622733177182,-0.6626297527649263,-0.402097641359471,1.1102230246251565e-15,98.41323501005247,Strong Synergy
26,277,-0.5283244665398001,0.06647169990335544,-0.6586089983503768,-0.3980399347292235,1.9984014443252818e-15,98.41417682525913,Strong Synergy
26,277,-0.5317321411193295,0.06646295358325566,-0.6619995301425106,-0.40146475209614846,1.3322676295501878e-15,98.41364545197224,Strong Synergy
26,277,-0.5343564473829615,0.06643948714022566,-0.6645778421778038,-0.4041350525881192,8.881784197001252e-16,98.41262937803337,Strong Synergy
28,277,-0.5262008290851821,0.06662200074041208,-0.6567799505363897,-0.3956217076339744,2.886579864025407e-15,98.41186432801797,Strong Synergy
28,277,-0.5257244314369126,0.06659228932066474,-0.6562453185054156,-0.3952035443684097,2.886579864025407e-15,98.4107197374345,Strong Synergy
28,277,-0.5255453377755228,0.06658015970848498,-0.6560424508041534,-0.3950482247468923,2.886579864025407e-15,98.41024324962763,Strong Synergy
28,277,-0.5260164810778597,0.06661096986810594,-0.6565739820193474,-0.39545898013637204,2.886579864025407e-15,98.41144370910466,Strong Synergy
28,277,-0.5264893553241532,0.06663797682942565,-0.6570997899098274,-0.3958789207384789,2.6645352591003757e-15,98.41246163173214,Strong Synergy
28,277,-0.5252081009880992,0.06655607158754452,-0.6556580012996864,-0.39475820067651196,2.886579864025407e-15,98.40928503404092,Strong Synergy
28,277,-0.5260017046194065,0.06661005936316762,-0.6565574209712151,-0.395445988267598,2.886579864025407e-15,98.41140874033462,Strong Synergy
28,277,-0.526339201081802,0.06662986562636493,-0.6569337377094773,-0.3957446644541267,2.886579864025407e-15,98.41216036287304,Strong Synergy
29,277,-0.5259641707824426,0.06649738301160428,-0.656299041485187,-0.3956293000796982,2.6645352591003757e-15,98.41349620349223,Strong Synergy
29,277,-0.5277466602667044,0.06651005326897538,-0.658106364673896,-0.3973869558595126,1.9984014443252818e-15,98.41413965691969,Strong Synergy
31,277,-0.5364321845659847,0.06641450763417288,-0.6666046195289635,-0.4062597496030059,6.661338147750939e-16,98.41245613511781,Strong Synergy
31,277,-0.5330216002444339,0.06643790794315006,-0.663239899813008,-0.4028033006758598,1.1102230246251565e-15,98.41361876481092,Strong Synergy
31,277,-0.5232000426784971,0.06642734741155534,-0.6533976436051455,-0.3930024417518486,3.3306690738754696e-15,98.41345475299372,Strong Synergy
31,277,-0.5303406013672657,0.06644940473950763,-0.6605814346567006,-0.40009976807783076,1.5543122344752192e-15,98.41408089941855,Strong Synergy
31,277,-0.5326282896804949,0.06645433514924287,-0.6628787865730109,-0.4023777927879789,1.1102230246251565e-15,98.41341768194883,Strong Synergy
31,277,-0.5329626832794355,0.0664492604767579,-0.663203233813881,-0.40272213274499,1.1102230246251565e-15,98.41340062241832,Strong Synergy
31,277,-0.535720046134462,0.06642462640890291,-0.6659123138959118,-0.4055277783730123,6.661338147750939e-16,98.412218395571,Strong Synergy
31,277,-0.5349029057708913,0.06643218541370076,-0.6651099891817448,-0.40469582236003776,8.881784197001252e-16,98.41273707984554,Strong Synergy
31,277,-0.5278434140157768,0.06650155727686223,-0.6581864662784268,-0.39750036175312686,1.9984014443252818e-15,98.41415488142097,Strong Synergy
31,277,-0.529954108284945,0.0664932260582889,-0.6602808313591912,-0.3996273852106988,1.5543122344752192e-15,98.41392693031962,Strong Synergy
31,277,-0.5297338641350819,0.06650040951707005,-0.6600746667885392,-0.3993930614816247,1.5543122344752192e-15,98.4139545661157,Strong Synergy
31,277,-0.5304006460056582,0.06649031581039462,-0.6607216649940316,-0.4000796270172847,1.5543122344752192e-15,98.41376966881127,Strong Synergy
31,277,-0.5409944585686964,0.06628272252080698,-0.6709085947094782,-0.41108032242791476,2.220446049250313e-16,98.40410752061187,Strong Synergy
31,277,-0.5381011393157119,0.06635436387994265,-0.6681556925203995,-0.4080465861110243,4.440892098500626e-16,98.4075209025583,Strong Synergy
31,277,-0.5403060746693157,0.06629487927371602,-0.670244038045799,-0.4103681112928323,4.440892098500626e-16,98.4046119291413,Strong Synergy
31,277,-0.5381011393157119,0.06635436387994265,-0.6681556925203995,-0.4080465861110243,4.440892098500626e-16,98.4075209025583,Strong Synergy
